,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
1547,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,5.0
1548,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1549,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
1550,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
1551,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,3.0
1552,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,3.0,4.0
1553,"Large (1,001 or more employees)",Female,Under 40 years,1.0,2.0,3.0,1.0
1554,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,4.0,4.0
1555,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
1556,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,1.0,4.0
1557,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,1.0,4.0
1558,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1559,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
1560,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,3.0
1561,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1562,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,4.0,4.0
1563,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1564,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
1565,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,1.0,3.0
1566,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
1567,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,5.0
1568,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
1569,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
1570,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
1571,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,1.0,4.0
1572,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
1573,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,2.0,4.0
1574,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,4.0,4.0
1575,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,5.0
1576,"Large (1,001 or more employees)",Male,Under 40 years,3.0,3.0,4.0,3.0
1577,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,4.0,3.0
1578,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
1579,"Large (1,001 or more employees)",Male,Under 40 years,3.0,3.0,4.0,5.0
1580,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
1581,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,5.0,5.0
1582,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1583,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1584,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,5.0,5.0
1585,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,3.0,2.0,2.0
1586,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1587,"Large (1,001 or more employees)",Male,Under 40 years,3.0,3.0,4.0,5.0
1588,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1589,"Large (1,001 or more employees)",Male,Under 40 years,1.0,3.0,3.0,4.0
1590,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
1591,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,4.0
1592,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1593,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,3.0
1594,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
1595,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,3.0
1596,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,5.0,1.0
1597,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,5.0
1598,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
1599,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,3.0,4.0
1600,"Large (1,001 or more employees)",Female,55 years or older,5.0,5.0,5.0,5.0
1601,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,2.0,5.0
1602,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
1603,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,5.0,4.0
1604,"Large (1,001 or more employees)",Female,Under 40 years,3.0,1.0,2.0,4.0
1605,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,1.0
1606,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,5.0
1607,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,5.0,4.0
1608,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
1609,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,5.0
1610,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
1611,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,4.0
1612,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,4.0
1613,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,5.0
1614,"Large (1,001 or more employees)",Male,55 years or older,1.0,4.0,4.0,4.0
1615,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
1616,"Large (1,001 or more employees)",Female,Under 40 years,4.0,1.0,5.0,5.0
1617,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,3.0,4.0
1618,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1619,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,1.0,4.0
1620,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
1621,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
1622,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,2.0,4.0
1623,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
1624,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,5.0,5.0
1625,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,1.0,4.0
1626,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,4.0
1627,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,4.0,5.0
1628,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,5.0
1629,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,4.0,3.0
1630,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1631,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,3.0,2.0
1632,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
1633,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,5.0
1634,"Large (1,001 or more employees)",Female,Under 40 years,5.0,4.0,3.0,4.0
1635,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
1636,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
1637,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,5.0,5.0
1638,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,4.0
1639,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,4.0
1640,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,2.0
1641,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1642,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
1643,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,4.0,4.0
1644,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
1645,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,3.0,3.0
1646,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
1647,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,4.0,5.0
1648,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
1649,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,3.0,3.0
1650,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
1651,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,2.0
1652,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
1653,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,5.0
1654,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,3.0
1655,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,4.0
1656,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,2.0,4.0
1657,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,5.0
1658,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,3.0,4.0
1659,"Large (1,001 or more employees)",Female,Under 40 years,2.0,2.0,3.0,2.0
1660,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
1661,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
1662,"Large (1,001 or more employees)",Female,Under 40 years,1.0,4.0,2.0,5.0
1663,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,5.0
1664,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,2.0,4.0
1665,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,3.0,4.0
1666,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
1667,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,5.0,5.0
1668,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,3.0,3.0
1669,"Large (1,001 or more employees)",Male,Under 40 years,4.0,2.0,1.0,5.0
1670,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
1671,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,1.0,2.0,4.0
1672,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
1673,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
1674,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
1675,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
1676,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,5.0
1677,"Large (1,001 or more employees)",Male,Under 40 years,5.0,5.0,5.0,5.0
1678,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
1679,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1680,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
1681,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
1682,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,5.0
1683,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
1684,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,4.0,4.0
1685,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,5.0,5.0
1686,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,2.0
1687,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,3.0,4.0
1688,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1689,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,4.0,4.0
1690,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
1691,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,4.0,4.0
1692,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,5.0
1693,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1694,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,2.0,4.0
1695,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,3.0,4.0
1696,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,4.0,5.0
1697,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1698,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
1699,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1700,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
1701,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,4.0,5.0
1702,"Large (1,001 or more employees)",Male,Under 40 years,2.0,1.0,4.0,4.0
1703,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
1704,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,5.0,5.0
1705,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,3.0
1706,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,5.0,5.0
1707,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
1708,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
1709,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
1710,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,5.0,5.0
1711,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,3.0,4.0
1712,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,5.0
1713,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1714,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,3.0
1715,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,4.0,4.0
1716,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,5.0
1717,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
1718,"Large (1,001 or more employees)",Male,Under 40 years,3.0,3.0,3.0,3.0
1719,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,4.0,4.0
1720,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,2.0
1721,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1722,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1723,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
1724,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1725,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,5.0,5.0
1726,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,5.0,4.0
1727,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,4.0,4.0
1728,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1729,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
1730,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
1731,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1732,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,1.0,1.0
1733,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,2.0,2.0
1734,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
1735,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,4.0,4.0
1736,"Large (1,001 or more employees)",Female,Under 40 years,3.0,2.0,5.0,4.0
1737,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
1738,"Large (1,001 or more employees)",Male,Under 40 years,4.0,1.0,1.0,5.0
1739,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,4.0
1740,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
1741,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,2.0,4.0
1742,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,3.0,4.0,5.0
1743,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,2.0,4.0,1.0
1744,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,4.0
1745,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,5.0,1.0,4.0
1746,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,3.0,3.0
1747,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
1748,"Large (1,001 or more employees)",Female,Under 40 years,5.0,4.0,5.0,5.0
1749,"Large (1,001 or more employees)",Female,Under 40 years,3.0,2.0,4.0,4.0
1750,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
1751,"Large (1,001 or more employees)",Male,Under 40 years,3.0,2.0,4.0,5.0
1752,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,2.0,3.0
1753,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
1754,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,5.0
1755,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,5.0,5.0
1756,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,2.0,3.0
1757,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
1758,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,3.0
1759,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
1760,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,3.0,3.0
1761,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1762,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
1763,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,1.0,2.0,2.0
1764,"Large (1,001 or more employees)",Female,Under 40 years,5.0,4.0,4.0,5.0
1765,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
1766,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1767,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1768,"Large (1,001 or more employees)",Male,Under 40 years,2.0,2.0,4.0,4.0
1769,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
1770,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
1771,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1772,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,3.0
1773,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,3.0
1774,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,5.0,5.0
1775,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,2.0,5.0
1776,"Large (1,001 or more employees)",Female,Under 40 years,5.0,5.0,4.0,4.0
1777,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,1.0,2.0,4.0
1778,"Large (1,001 or more employees)",Female,Under 40 years,1.0,2.0,1.0,4.0
1779,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
1780,"Large (1,001 or more employees)",Male,55 years or older,5.0,2.0,3.0,3.0
1781,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,4.0
1782,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
1783,"Large (1,001 or more employees)",Female,Under 40 years,2.0,5.0,4.0,1.0
1784,"Large (1,001 or more employees)",Male,Under 40 years,1.0,2.0,2.0,2.0
1785,"Large (1,001 or more employees)",Male,Under 40 years,3.0,3.0,3.0,4.0
1786,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
1787,"Large (1,001 or more employees)",Female,Under 40 years,5.0,5.0,5.0,5.0
1788,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,4.0,4.0
1789,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,5.0
1790,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,3.0
1791,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
1792,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,2.0,4.0
1793,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
1794,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,3.0
1795,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,1.0
1796,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
1797,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,3.0,4.0
1798,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
1799,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,4.0,4.0
1800,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,1.0,1.0
1801,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,5.0
1802,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
1803,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1804,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,2.0,3.0
1805,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
1806,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
1807,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,5.0
1808,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,2.0
1809,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
1810,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,3.0,4.0
1811,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,1.0,3.0
1812,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,5.0,5.0
1813,"Large (1,001 or more employees)",Male,Under 40 years,4.0,3.0,3.0,4.0
1814,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,3.0,4.0
1815,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
1816,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
1817,"Large (1,001 or more employees)",Male,Under 40 years,1.0,4.0,3.0,3.0
1818,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,5.0,4.0
1819,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
1820,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,5.0
1821,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
1822,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
1823,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,5.0,5.0
1824,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
1825,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1826,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1827,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,4.0,5.0
1828,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
1829,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,4.0
1830,"Large (1,001 or more employees)",Female,55 years or older,2.0,3.0,3.0,3.0
1831,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,3.0,3.0
1832,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,3.0,5.0
1833,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
1834,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,5.0,5.0
1835,"Large (1,001 or more employees)",Male,Under 40 years,3.0,2.0,1.0,3.0
1836,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,2.0,4.0
1837,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
1838,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,3.0,4.0
1839,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
1840,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,4.0,5.0
1841,"Large (1,001 or more employees)",Female,Under 40 years,2.0,3.0,4.0,4.0
1842,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,4.0,4.0
1843,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
1844,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,3.0,4.0
1845,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,4.0,5.0
1846,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,1.0
1847,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,4.0,4.0
1848,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,2.0
1849,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,2.0,5.0
1850,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,2.0
1851,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
1852,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,3.0,3.0
1853,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
1854,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1855,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
1856,"Large (1,001 or more employees)",Male,Under 40 years,2.0,3.0,2.0,5.0
1857,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,5.0,4.0
1858,"Large (1,001 or more employees)",Male,Under 40 years,4.0,2.0,4.0,4.0
1859,"Large (1,001 or more employees)",Female,Under 40 years,4.0,1.0,4.0,4.0
1860,"Large (1,001 or more employees)",Female,Under 40 years,2.0,3.0,4.0,4.0
1861,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
1862,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,2.0
1863,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,1.0,4.0
1864,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
1865,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,4.0
