,2,1. What is your gender?,2. How old were you at your last birthday?,47a. I have unrealistic time pressures,19a. My supervisor communicates effectively,"17d. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","17e. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
2405,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,1.0,4.0
2406,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,2.0
2407,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,5.0,5.0
2408,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,3.0,4.0
2409,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,3.0,2.0
2410,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,4.0,4.0
2411,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,4.0,4.0
2412,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,2.0,4.0
2413,"Large (1,001 or more employees)",Female,Under 40 years,1.0,5.0,4.0,4.0
2414,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,2.0,4.0
2415,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2416,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,4.0
2417,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,1.0,3.0
2418,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,1.0,4.0
2419,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,5.0,5.0
2420,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,4.0,4.0
2421,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,5.0
2422,"Large (1,001 or more employees)",Female,Under 40 years,2.0,5.0,4.0,4.0
2423,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,3.0,4.0
2424,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,5.0,5.0
2425,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2426,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,5.0
2427,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,5.0,4.0
2428,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
2429,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
2430,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,4.0,4.0
2431,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
2432,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,3.0,5.0
2433,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
2434,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
2435,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,1.0,4.0
2436,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
2437,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
2438,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,4.0
2439,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,2.0,5.0
2440,"Large (1,001 or more employees)",Female,55 years or older,1.0,1.0,4.0,3.0
2441,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,3.0
2442,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
2443,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,3.0,4.0
2444,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
2445,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
2446,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
2447,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
2448,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2449,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2450,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
2451,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
2452,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,2.0
2453,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
2454,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,2.0,3.0
2455,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2456,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,2.0
2457,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
2458,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
2459,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,3.0,2.0
2460,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,5.0
2461,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
2462,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,4.0
2463,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,3.0
2464,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2465,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
2466,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
2467,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,1.0,5.0
2468,"Large (1,001 or more employees)",Male,Under 40 years,5.0,5.0,4.0,4.0
2469,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,2.0
2470,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
2471,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,5.0
2472,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,4.0,2.0
2473,"Large (1,001 or more employees)",Female,Under 40 years,1.0,4.0,1.0,2.0
2474,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,2.0
2475,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2476,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2477,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,2.0
2478,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,2.0,3.0
2479,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
2480,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,5.0
2481,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2482,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2483,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2484,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,1.0,4.0
2485,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
2486,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,2.0,4.0
2487,"Large (1,001 or more employees)",Male,Under 40 years,5.0,4.0,5.0,5.0
2488,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,5.0,4.0,3.0
2489,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
2490,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
2491,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,3.0
2492,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
2493,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,4.0
2494,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,3.0,3.0
2495,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,4.0
2496,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
2497,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,1.0,2.0
2498,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
2499,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,3.0
2500,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
2501,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2502,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2503,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
2504,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,5.0,5.0
2505,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,3.0
2506,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,1.0,4.0
2507,"Large (1,001 or more employees)",Female,55 years or older,2.0,2.0,3.0,4.0
2508,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,3.0,3.0
2509,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,4.0,4.0
2510,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2511,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
2512,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,2.0,4.0
2513,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
2514,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,3.0
2515,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
2516,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
2517,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,3.0,5.0
2518,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,4.0
2519,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,1.0,1.0
2520,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2521,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
2522,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,4.0,4.0
2523,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
2524,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
2525,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2526,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
2527,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
2528,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
2529,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,3.0
2530,"Large (1,001 or more employees)",Male,Under 40 years,2.0,1.0,2.0,4.0
2531,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,4.0,4.0
2532,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,5.0,5.0
2533,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,5.0
2534,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
2535,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
2536,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,3.0,4.0
2537,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
2538,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
2539,"Large (1,001 or more employees)",Female,Under 40 years,4.0,2.0,5.0,4.0
2540,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,4.0
2541,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,2.0,4.0
2542,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,4.0,4.0
2543,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
2544,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,2.0,4.0
2545,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2546,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,4.0,4.0
2547,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2548,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,2.0,3.0
2549,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,4.0
2550,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,3.0,4.0
2551,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2552,"Large (1,001 or more employees)",Male,Under 40 years,1.0,5.0,2.0,5.0
2553,"Large (1,001 or more employees)",Female,Under 40 years,5.0,5.0,5.0,4.0
2554,"Large (1,001 or more employees)",Male,55 years or older,3.0,1.0,3.0,4.0
2555,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
2556,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
2557,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,4.0
2558,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,4.0,4.0
2559,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2560,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,5.0
2561,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
2562,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
2563,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2564,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2565,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,2.0
2566,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,1.0,4.0
2567,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,3.0
2568,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2569,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2570,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,3.0,4.0
2571,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,5.0,5.0
2572,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,2.0,4.0
2573,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,5.0
2574,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
2575,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,5.0,5.0
2576,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,2.0,4.0
2577,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2578,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2579,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,2.0,4.0
2580,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
2581,"Large (1,001 or more employees)",Male,Under 40 years,1.0,4.0,1.0,2.0
2582,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
2583,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,5.0,5.0
2584,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
2585,"Large (1,001 or more employees)",Female,55 years or older,1.0,5.0,4.0,3.0
2586,"Large (1,001 or more employees)",Male,Under 40 years,1.0,3.0,3.0,2.0
2587,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
2588,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2589,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
2590,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,5.0,5.0
2591,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,4.0,4.0
2592,"Large (1,001 or more employees)",Female,Under 40 years,1.0,5.0,4.0,1.0
2593,"Large (1,001 or more employees)",Male,Under 40 years,4.0,2.0,3.0,4.0
2594,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2595,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,5.0,5.0
2596,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,5.0
2597,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2598,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,5.0
2599,"Large (1,001 or more employees)",Male,Under 40 years,5.0,4.0,3.0,4.0
2600,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2601,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2602,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2603,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,1.0,5.0
2604,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,3.0
2605,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,5.0
2606,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
2607,"Large (1,001 or more employees)",Male,55 years or older,5.0,4.0,2.0,4.0
2608,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,4.0,4.0
2609,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2610,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2611,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2612,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2613,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
2614,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
2615,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
2616,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2617,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,3.0,3.0
2618,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,5.0,5.0
2619,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,5.0,4.0
2620,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,4.0
2621,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
2622,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,5.0
2623,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,1.0
2624,"Large (1,001 or more employees)",Female,Under 40 years,1.0,4.0,3.0,3.0
2625,"Large (1,001 or more employees)",Female,Under 40 years,1.0,3.0,3.0,2.0
2626,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
2627,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2628,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
2629,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
2630,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,5.0,5.0
2631,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,1.0,1.0
2632,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
2633,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
2634,"Large (1,001 or more employees)",Female,55 years or older,1.0,2.0,3.0,2.0
2635,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
2636,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
2637,"Large (1,001 or more employees)",Female,Under 40 years,1.0,4.0,3.0,3.0
2638,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,2.0,4.0
2639,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,4.0,4.0
2640,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,5.0
2641,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,4.0,4.0
2642,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2643,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,1.0,3.0
2644,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,4.0,4.0
2645,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,2.0,2.0
2646,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2647,"Large (1,001 or more employees)",Female,55 years or older,5.0,2.0,4.0,4.0
2648,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,1.0,4.0
2649,"Large (1,001 or more employees)",Male,Under 40 years,2.0,5.0,4.0,5.0
2650,"Large (1,001 or more employees)",Male,55 years or older,4.0,2.0,4.0,4.0
2651,"Large (1,001 or more employees)",Female,Under 40 years,5.0,2.0,5.0,4.0
2652,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
2653,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
2654,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,3.0,5.0
2655,"Large (1,001 or more employees)",Male,Under 40 years,1.0,5.0,3.0,3.0
2656,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
2657,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2658,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,5.0,4.0
2659,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,2.0,4.0
2660,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
2661,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,4.0,4.0
2662,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
2663,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,2.0
2664,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,3.0
2665,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,5.0,5.0
2666,"Large (1,001 or more employees)",Female,Under 40 years,2.0,3.0,2.0,3.0
2667,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,2.0
2668,"Large (1,001 or more employees)",Female,Under 40 years,3.0,1.0,4.0,4.0
2669,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,5.0,5.0
2670,"Large (1,001 or more employees)",Female,Under 40 years,2.0,5.0,4.0,2.0
2671,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
2672,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,4.0
2673,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2674,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
2675,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,2.0
2676,"Large (1,001 or more employees)",Female,Under 40 years,4.0,2.0,4.0,4.0
2677,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,3.0
2678,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
2679,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,3.0
2680,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
2681,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2682,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,4.0,4.0
2683,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,3.0,4.0
2684,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
2685,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
2686,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,3.0,4.0
2687,"Large (1,001 or more employees)",Male,Under 40 years,1.0,3.0,3.0,4.0
2688,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,2.0,2.0
2689,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
2690,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
2691,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
2692,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
2693,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,4.0,4.0
2694,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,4.0
2695,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,5.0,5.0
2696,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2697,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,5.0
2698,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
2699,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2700,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
2701,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,3.0,5.0
2702,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
2703,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
2704,"Large (1,001 or more employees)",Male,Under 40 years,3.0,3.0,4.0,5.0
2705,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
2706,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,1.0,2.0
2707,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,5.0
2708,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2709,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,4.0
2710,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,3.0
2711,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2712,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2713,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,3.0,2.0
2714,"Large (1,001 or more employees)",Male,Under 40 years,1.0,5.0,2.0,2.0
2715,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,5.0,5.0
2716,"Large (1,001 or more employees)",Male,Under 40 years,2.0,3.0,4.0,3.0
2717,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
2718,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,1.0,5.0
2719,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,5.0,4.0
2720,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
2721,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,4.0
2722,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,2.0
2723,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,3.0
2724,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
