,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
1972,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
1973,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,2.0,3.0
1974,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
1975,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
1976,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,4.0,4.0,3.0
1977,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
1978,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,5.0
1979,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
1980,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
1981,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,2.0
1982,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1983,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,3.0,1.0
1984,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
1985,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1986,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
1987,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
1988,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
1989,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
1990,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,4.0
1991,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
1992,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,3.0,1.0
1993,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,2.0,3.0
1994,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
1995,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,4.0
1996,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,4.0
1997,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,5.0
1998,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
1999,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2000,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
2001,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
2002,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
2003,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2004,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,2.0,4.0,4.0
2005,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,2.0,3.0
2006,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
2007,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,3.0,4.0
2008,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,2.0,4.0
2009,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2010,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
2011,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
2012,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,2.0
2013,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,5.0
2014,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,3.0,2.0
2015,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2016,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2017,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
2018,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,1.0,5.0
2019,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2020,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
2021,Small (Less than 250 employees),Male,40 to 54 years,4.0,5.0,4.0,4.0
2022,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
2023,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,4.0
2024,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2025,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2026,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2027,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
2028,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2029,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
2030,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2031,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,2.0,4.0
2032,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,4.0
2033,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,5.0
2034,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2035,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,5.0,3.0,1.0
2036,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2037,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2038,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,2.0
2039,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,5.0
2040,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,3.0
2041,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,5.0,4.0
2042,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2043,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2044,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2045,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,4.0,4.0
2046,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2047,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,4.0
2048,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,3.0,4.0
2049,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
2050,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,2.0,5.0
2051,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,5.0,5.0
2052,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2053,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
2054,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2055,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2056,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2057,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,3.0
2058,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2059,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2060,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
2061,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,4.0,5.0
2062,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,3.0
2063,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
2064,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,3.0,5.0
2065,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,2.0,2.0
2066,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
2067,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2068,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
2069,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2070,Small (Less than 250 employees),Male,40 to 54 years,2.0,5.0,5.0,5.0
2071,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
2072,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
2073,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
2074,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2075,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2076,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,4.0
2077,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2078,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,5.0
2079,Small (Less than 250 employees),Female,40 to 54 years,4.0,5.0,1.0,3.0
2080,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,1.0,4.0,4.0
2081,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,4.0
2082,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2083,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2084,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,4.0
2085,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,2.0,4.0
2086,"Medium (251 to 1,000 employees)",Female,40 to 54 years,5.0,5.0,5.0,5.0
2087,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
2088,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
2089,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,1.0,5.0,4.0
2090,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2091,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,4.0,5.0,5.0
2092,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2093,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2094,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
2095,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,3.0
2096,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,5.0,2.0
2097,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,5.0
2098,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
2099,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,1.0,3.0
2100,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,1.0,2.0,4.0
2101,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,2.0
2102,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
2103,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,4.0
2104,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,3.0
2105,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2106,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,3.0
2107,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,1.0,4.0,2.0
2108,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
2109,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,5.0
2110,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,4.0
2111,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2112,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2113,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2114,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2115,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,4.0
2116,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2117,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,2.0
2118,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,3.0,4.0,4.0
2119,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
2120,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2121,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2122,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,2.0,4.0
2123,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2124,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
2125,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,3.0
2126,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,2.0
2127,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2128,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,5.0
2129,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,2.0
2130,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,2.0,4.0
2131,Small (Less than 250 employees),Male,40 to 54 years,2.0,4.0,3.0,4.0
2132,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2133,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,3.0,3.0
2134,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,2.0,3.0,4.0
2135,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2136,Small (Less than 250 employees),Male,40 to 54 years,3.0,4.0,4.0,4.0
2137,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,5.0,5.0
2138,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
2139,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,1.0,1.0,1.0
2140,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2141,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
2142,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,4.0,2.0
2143,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
2144,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,5.0,5.0
2145,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2146,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
2147,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2148,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
2149,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,3.0,4.0
2150,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,3.0
2151,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
2152,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,3.0
2153,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
2154,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
2155,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,3.0,3.0
2156,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
2157,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2158,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,3.0,3.0
2159,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
2160,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2161,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
2162,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
2163,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,5.0
2164,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,3.0
2165,Small (Less than 250 employees),Female,40 to 54 years,4.0,3.0,4.0,5.0
2166,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,5.0
2167,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
2168,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2169,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,1.0,5.0,2.0
2170,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2171,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,2.0
2172,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
2173,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,4.0,4.0
2174,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,4.0
2175,Small (Less than 250 employees),Female,40 to 54 years,3.0,4.0,4.0,4.0
2176,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2177,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,1.0,2.0,2.0
2178,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,2.0,2.0
2179,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2180,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,5.0,3.0,5.0
2181,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2182,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
2183,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
2184,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,3.0,4.0,5.0
2185,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,2.0,4.0
2186,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,2.0,4.0,4.0
2187,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2188,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,3.0
2189,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,5.0,5.0
2190,"Medium (251 to 1,000 employees)",Male,40 to 54 years,5.0,3.0,3.0,3.0
2191,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,5.0,3.0
2192,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2193,Small (Less than 250 employees),Female,40 to 54 years,4.0,5.0,4.0,4.0
2194,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,5.0,4.0
2195,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2196,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2197,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,5.0
2198,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2199,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,1.0,3.0,4.0
2200,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2201,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
2202,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2203,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,2.0,3.0
2204,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2205,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,1.0,4.0,4.0
2206,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2207,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,4.0,4.0
2208,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
2209,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2210,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,3.0,4.0
2211,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
2212,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
2213,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,5.0,4.0
2214,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2215,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,2.0
2216,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2217,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
2218,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
2219,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,1.0,3.0
2220,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,1.0,4.0,4.0
2221,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
2222,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2223,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
2224,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2225,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
2226,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,2.0,3.0
2227,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
2228,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,5.0
2229,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
2230,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
2231,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
2232,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,1.0,5.0,5.0
2233,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,2.0,1.0,2.0
2234,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2235,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,4.0,2.0
2236,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
2237,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
2238,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
2239,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
2240,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
2241,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
2242,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
2243,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
2244,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
2245,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,2.0
2246,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2247,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
2248,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
2249,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2250,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2251,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
2252,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,2.0,4.0,4.0
2253,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2254,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
2255,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,5.0
2256,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,3.0
2257,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2258,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
2259,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
2260,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,2.0,3.0
2261,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
2262,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
2263,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,2.0,4.0
2264,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2265,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,3.0,5.0
2266,Small (Less than 250 employees),Male,40 to 54 years,3.0,3.0,3.0,4.0
2267,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,2.0,2.0,4.0
2268,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
2269,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
2270,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,2.0,2.0
2271,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
2272,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
2273,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,3.0,2.0
2274,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
2275,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,1.0,3.0
2276,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,4.0
2277,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
2278,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,3.0,2.0
2279,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2280,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
2281,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
2282,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,1.0,5.0,4.0
2283,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,4.0,2.0
2284,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,4.0,3.0,5.0
